id,review_text,product_name,rating,created_at
107,材质不错，做工精细,空气净化器,3,2024-03-22
108,屏幕显示效果好,空气净化器,3,2024-02-14
109,重量轻便，便于携带,无线蓝牙耳机,4,2024-05-20
110,用了一周感觉不错，推荐购买,游戏鼠标,5,2024-01-20
111,颜色选择多，喜欢这款,智能音箱,3,2024-08-02
112,散热良好，长时间使用不发热,空气净化器,3,2024-07-05
113,散热良好，长时间使用不发热,空气净化器,5,2024-05-22
114,物流速度很快，次日到达,4K显示器,5,2024-08-12
115,安装简单，说明书清晰,空气净化器,5,2024-09-19
116,电池续航不错,USB集线器,3,2024-08-10
117,客服态度很好，解决问题很快,扫地机器人,5,2024-03-16
118,用了一周感觉不错，推荐购买,运动手环,3,2024-09-26
119,防水效果很好,空气净化器,3,2024-06-05
120,整体满意，会再次购买,游戏鼠标,4,2024-06-03
